"date","sum_mts_swe_m3"
2016-01-24,552682.190571429
2016-01-31,504255.534142857
2016-02-07,450921.458128571
2016-02-14,243540.209271429
2016-02-21,75483.4275
2016-02-28,34620.2530714286
2016-03-06,7743.18921428571
2016-03-13,1780.5681
2016-03-20,347.2398
2016-03-27,8339.18135714286
2016-04-03,659.888014285714
2016-04-10,8388.4353
2016-04-17,56482.3423714286
2016-04-24,1204.10725714286
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,4034.88837142857
2016-11-27,76545.4224857143
2016-12-04,88094.7401571428
2016-12-11,23238.8069571429
2016-12-18,189724.3842
2016-12-25,252108.273457143
2017-01-01,342126.450071429
2017-01-08,305751.134685714
2017-01-15,344894.802642857
2017-01-22,755187.127171429
2017-01-29,821160.0871
2017-02-05,574404.724142857
2017-02-12,398846.221757143
2017-02-19,359847.524328571
2017-02-26,465015.185971429
2017-03-05,367104.206114286
2017-03-12,189303.096428571
2017-03-19,42946.5976285714
2017-03-26,28579.7480571429
2017-04-02,28564.9992571429
2017-04-09,909.655714285714
2017-04-16,0
2017-04-23,2388.78512857143
2017-04-30,7676.489
2017-10-29,0
2017-11-05,0
2017-11-12,39.3966
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,2367.4071
2017-12-24,0
2017-12-31,0
2018-01-07,32839.7127428571
2018-01-14,37490.4173571429
2018-01-21,59348.6712428571
2018-01-28,20345.4562571429
2018-02-04,2513.32337142857
2018-02-11,20141.6593285714
2018-02-18,46619.8633714286
2018-02-25,23781.7193142857
2018-03-04,71.9093142857143
2018-03-11,17798.1352
2018-03-18,13110.4863714286
2018-03-25,212.579714285714
2018-04-01,0
2018-04-08,0
2018-04-15,1792.37672857143
2018-04-22,1.93782857142857
2018-04-29,0
2018-10-28,2094.1123
2018-11-04,0
2018-11-11,11.649
2018-11-18,4046.13497142857
2018-11-25,1005.5295
2018-12-02,846.5688
2018-12-09,846.5688
2018-12-16,29816.7682428571
2018-12-23,846.5688
2018-12-30,846.5688
2019-01-06,392848.832742857
2019-01-13,563705.106214286
2019-01-20,728686.549585714
2019-01-27,673906.4743
2019-02-03,623196.801328572
2019-02-10,720815.648242857
2019-02-17,850574.542842857
2019-02-24,960808.051085714
2019-03-03,793594.965728572
2019-03-10,787283.1707
2019-03-17,783530.386085714
2019-03-24,701653.739928572
2019-03-31,546830.623414286
2019-04-07,349428.5568
2019-04-14,233972.437685714
2019-04-21,62093.4171
2019-04-28,2124.6465
