Date,SoilMoisture
"1981-12-06:12 AM",0.3228
"1981-12-07:12 AM",0.3111
"1981-12-08:12 AM",0.2984
"1981-12-09:12 AM",0.283
"1981-12-10:12 AM",0.2698
"1981-12-11:12 AM",0.2614
"1981-12-12:12 AM",0.2518
"1981-12-13:12 AM",0.2479
"1981-12-14:12 AM",0.2439
"1981-12-15:12 AM",0.242
"1981-12-16:12 AM",0.2389
"1981-12-17:12 AM",0.2365
"1981-12-18:12 AM",0.2357
"1981-12-19:12 AM",0.2338
"1981-12-20:12 AM",0.2287
"1981-12-21:12 AM",0.2217
"1981-12-22:12 AM",0.2269
"1981-12-23:12 AM",0.2161
"1981-12-24:12 AM",0.2166
"1981-12-25:12 AM",0.2166
"1981-12-26:12 AM",0.2158
"1981-12-27:12 AM",0.2128
"1981-12-28:12 AM",0.2099
"1981-12-29:12 AM",0.209
"1981-12-30:12 AM",0.2056
"1981-12-31:12 AM",0.2036
"1982-01-01:12 AM",0.2621
"1982-01-02:12 AM",0.2692
"1982-01-03:12 AM",0.2597
"1982-01-04:12 AM",0.2605
"1982-01-05:12 AM",0.261
"1982-01-06:12 AM",0.2989
"1982-01-07:12 AM",0.2715
"1982-01-08:12 AM",0.2719
"1982-01-09:12 AM",0.28
"1982-01-10:12 AM",0.2933
"1982-01-11:12 AM",0.3101
"1982-01-12:12 AM",0.3743
"1982-01-13:12 AM",0.3438
"1982-01-14:12 AM",0.3485
"1982-01-15:12 AM",0.3621
"1982-01-16:12 AM",0.3727
"1982-01-17:12 AM",0.3796
"1982-01-18:12 AM",0.3756
"1982-01-19:12 AM",0.3652
"1982-01-20:12 AM",0.3547
"1982-01-21:12 AM",0.3476
"1982-01-22:12 AM",0.3482
"1982-01-23:12 AM",0.3482
"1982-01-24:12 AM",0.3575
"1982-01-25:12 AM",0.3837
"1982-01-26:12 AM",0.4035
"1982-01-27:12 AM",0.3802
"1982-01-28:12 AM",0.3648
"1982-01-29:12 AM",0.3969
"1982-01-30:12 AM",0.3535
"1982-01-31:12 AM",0.3542
"1982-02-01:12 AM",0.3523
"1982-02-02:12 AM",0.3516
"1982-02-03:12 AM",0.351
"1982-02-04:12 AM",0.3494
"1982-02-05:12 AM",0.3489
"1982-02-06:12 AM",0.3492
"1982-02-07:12 AM",0.3551
"1982-02-08:12 AM",0.3929
"1982-02-09:12 AM",0.3938
"1982-02-10:12 AM",0.3994
"1982-02-11:12 AM",0.4504
"1982-02-12:12 AM",0.4637
"1982-02-13:12 AM",0.4639
"1982-02-14:12 AM",0.4639
"1982-02-15:12 AM",0.464
"1982-02-16:12 AM",0.4639
"1982-02-17:12 AM",0.4637
"1982-02-18:12 AM",0.4635
"1982-02-19:12 AM",0.4636
"1982-02-20:12 AM",0.4637
"1982-02-21:12 AM",0.4577
"1982-02-22:12 AM",0.4134
"1982-02-23:12 AM",0.3599
"1982-02-24:12 AM",0.3465
"1982-02-25:12 AM",0.3888
"1982-02-26:12 AM",0.3876
"1982-02-27:12 AM",0.3557
"1982-02-28:12 AM",0.3476
"1982-03-01:12 AM",0.3277
